,word,polyglot,afinn
411,Præstens,0,0.0
412,Mark,0,0.0
413,!,0,0.0
414,men,0,0.0
415,der,0,0.0
416,har,0,0.0
417,jeg,0,0.0
418,aldrig,0,0.0
419,været,0,0.0
420,!,0,0.0
421,-,0,0.0
422,I,0,0.0
423,ere,0,0.0
424,her,0,0.0
425,dog,0,0.0
426,vel,0,0.0
427,Allesammen,0,0.0
428,!,0,0.0
429,«,0,0.0
430,-,0,0.0
431,og,0,0.0
432,saa,0,0.0
433,reiste,0,0.0
434,hun,0,0.0
435,sig,0,0.0
436,op,0,0.0
437,",",0,0.0
438,»,0,0.0
439,nei,0,0.0
440,",",0,0.0
441,jeg,0,0.0
442,har,0,0.0
443,ikke,0,0.0
444,alle,0,0.0
445,!,0,0.0
446,det,0,0.0
447,største,0,0.0
448,Æg,0,0.0
449,ligger,-1,0.0
450,der,0,0.0
451,endnu,0,0.0
452,;,0,0.0
453,hvor,0,0.0
454,længe,0,0.0
455,skal,0,0.0
456,det,0,0.0
457,vare,0,0.0
458,!,0,0.0
459,nu,0,0.0
460,er,0,0.0
461,jeg,0,0.0
462,snart,0,0.0
463,kjed,0,0.0
464,af,0,0.0
465,det,0,0.0
466,!,0,0.0
467,«,0,0.0
468,og,0,0.0
469,saa,0,0.0
470,lagde,0,0.0
471,hun,0,0.0
472,sig,0,0.0
473,igjen,0,0.0
474,.,0,0.0
475,»,0,0.0
476,Naa,0,0.0
477,hvordan,0,0.0
478,gaaer,0,0.0
479,det,0,0.0
480,?,0,0.0
481,«,0,0.0
482,sagde,0,0.0
483,en,0,0.0
484,gammel,0,0.0
485,And,0,0.0
486,",",0,0.0
487,som,1,0.0
488,kom,0,0.0
489,for,0,0.0
490,at,0,0.0
491,gjøre,0,0.0
492,Visit,0,0.0
493,.,0,0.0
494,»,0,0.0
495,Det,0,0.0
496,varer,0,0.0
497,saa,0,0.0
498,længe,0,0.0
499,med,0,0.0
500,det,0,0.0
501,ene,0,0.0
502,Æg,0,0.0
503,!,0,0.0
504,«,0,0.0
505,sagde,0,0.0
506,Anden,0,0.0
507,",",0,0.0
508,som,1,0.0
509,laae,0,0.0
510,;,0,0.0
511,»,0,0.0
512,der,0,0.0
513,vil,0,0.0
514,ikke,0,0.0
515,gaae,0,0.0
516,Hul,0,0.0
517,paa,0,0.0
518,det,0,0.0
519,!,0,0.0
520,men,0,0.0
521,nu,0,0.0
522,skal,0,0.0
523,Du,0,0.0
524,see,0,0.0
525,de,0,0.0
526,andre,0,0.0
527,!,0,0.0
528,de,0,0.0
529,ere,0,0.0
530,de,0,0.0
531,deiligste,0,0.0
532,Ællinger,0,0.0
533,jeg,0,0.0
534,har,0,0.0
535,seet,0,0.0
536,!,0,0.0
537,de,0,0.0
538,ligne,0,0.0
539,Allesammen,0,0.0
540,deres,0,0.0
541,Fader,0,0.0
542,",",0,0.0
543,det,0,0.0
544,Skarn,0,0.0
545,han,0,0.0
546,kommer,0,0.0
547,ikke,0,0.0
548,og,0,0.0
549,besøger,0,0.0
550,mig,0,0.0
551,.,0,0.0
552,«,0,0.0
553,»,0,0.0
554,Lad,0,0.0
555,mig,0,0.0
556,see,0,0.0
557,det,0,0.0
558,Æg,0,0.0
559,",",0,0.0
560,der,0,0.0
561,ikke,0,0.0
562,vil,0,0.0
563,revne,0,0.0
564,!,0,0.0
565,«,0,0.0
566,sagde,0,0.0
567,den,0,0.0
568,gamle,0,0.0
569,.,0,0.0
570,»,0,0.0
571,Du,0,0.0
572,kan,0,0.0
573,troe,0,0.0
574,",",0,0.0
575,at,0,0.0
576,det,0,0.0
577,er,0,0.0
578,et,0,0.0
579,Kalkun,0,0.0
580,-,0,0.0
581,Æg,0,0.0
582,!,0,0.0
583,saaledes,0,0.0
584,er,0,0.0
585,jeg,0,0.0
586,ogsaa,0,0.0
587,blevet,0,0.0
588,narret,0,-2.0
589,engang,0,0.0
590,",",0,0.0
591,og,0,0.0
592,jeg,0,0.0
593,havde,0,0.0
594,min,0,0.0
595,Sorg,0,-2.0
596,og,0,0.0
597,Nød,0,0.0
598,med,0,0.0
599,de,0,0.0
600,Unger,0,0.0
601,",",0,0.0
602,for,0,0.0
603,de,0,0.0
604,ere,0,0.0
605,bange,-1,-2.0
606,for,0,0.0
607,Vandet,0,0.0
608,",",0,0.0
609,skal,0,0.0
610,jeg,0,0.0
611,sige,0,0.0
612,Dig,0,0.0
613,!,0,0.0
614,jeg,0,0.0
615,kunde,0,0.0
616,ikke,0,0.0
617,faae,0,0.0
618,dem,0,0.0
619,ud,0,0.0
620,!,0,0.0
621,jeg,0,0.0
622,rappede,0,0.0
623,og,0,0.0
624,snappede,0,0.0
625,",",0,0.0
626,men,0,0.0
627,det,0,0.0
628,hjalp,0,2.0
629,ikke,0,0.0
630,!,0,0.0
631,-,0,0.0
632,Lad,0,0.0
633,mig,0,0.0
634,see,0,0.0
635,Ægget,0,0.0
636,!,0,0.0
637,jo,0,0.0
638,",",0,0.0
639,det,0,0.0
640,er,0,0.0
641,et,0,0.0
642,Kalkun,0,0.0
643,-,0,0.0
644,Æg,0,0.0
645,!,0,0.0
646,lad,0,0.0
647,Du,0,0.0
648,det,0,0.0
649,ligge,-1,0.0
650,og,0,0.0
651,lær,0,0.0
652,de,0,0.0
653,andre,0,0.0
654,Børn,0,0.0
655,at,0,0.0
656,svømme,0,0.0
657,!,0,0.0
658,«,0,0.0
659,»,0,0.0
660,Jeg,0,0.0
661,vil,0,0.0
662,dog,0,0.0
663,ligge,-1,0.0
664,paa,0,0.0
665,det,0,0.0
666,lidt,-1,0.0
667,endnu,0,0.0
668,!,0,0.0
669,«,0,0.0
670,sagde,0,0.0
671,Anden,0,0.0
672,;,0,0.0
673,»,0,0.0
674,har,0,0.0
675,jeg,0,0.0
676,nu,0,0.0
677,ligget,0,0.0
678,saalænge,0,0.0
679,",",0,0.0
680,saa,0,0.0
681,kan,0,0.0
682,jeg,0,0.0
683,ligge,-1,0.0
684,Dyrehavstiden,0,0.0
685,med,0,0.0
686,!,0,0.0
687,«,0,0.0
688,»,0,0.0
689,Vær,0,0.0
690,saa,0,0.0
691,god,1,3.0
692,!,0,0.0
693,«,0,0.0
694,sagde,0,0.0
695,den,0,0.0
696,gamle,0,0.0
697,And,0,0.0
698,",",0,0.0
699,og,0,0.0
700,saa,0,0.0
701,gik,0,0.0
702,hun.Endelig,0,0.0
703,revnede,0,0.0
704,det,0,0.0
705,store,1,0.0
706,Æg,0,0.0
707,.,0,0.0
708,»,0,0.0
709,Pip,0,0.0
710,!,0,0.0
711,pip,0,0.0
712,!,0,0.0
713,«,0,0.0
714,sagde,0,0.0
715,Ungen,0,0.0
716,og,0,0.0
717,væltede,0,0.0
718,ud,0,0.0
719,;,0,0.0
720,han,0,0.0
721,var,0,0.0
722,saa,0,0.0
723,stor,1,0.0
724,og,0,0.0
725,styg,0,0.0
726,.,0,0.0
727,Anden,0,0.0
728,saae,0,0.0
729,paa,0,0.0
730,ham,0,0.0
731,:,0,0.0
732,»,0,0.0
733,Det,0,0.0
734,er,0,0.0
735,da,-1,0.0
736,en,0,0.0
737,forfærdelig,0,0.0
738,stor,1,0.0
739,Ælling,0,0.0
740,den,0,0.0
741,!,0,0.0
742,«,0,0.0
743,sagde,0,0.0
744,hun,0,0.0
745,;,0,0.0
746,»,0,0.0
747,ingen,0,0.0
748,af,0,0.0
749,de,0,0.0
750,andre,0,0.0
751,see,0,0.0
752,saadanne,0,0.0
753,ud,0,0.0
754,!,0,0.0
755,det,0,0.0
756,skulde,0,0.0
757,dog,0,0.0
758,vel,0,0.0
759,aldrig,0,0.0
760,være,0,0.0
761,en,0,0.0
762,Kalkun,0,0.0
763,-,0,0.0
764,Kylling,0,0.0
765,!,0,0.0
766,naa,0,0.0
767,",",0,0.0
768,det,0,0.0
769,skal,0,0.0
770,vi,0,0.0
771,snart,0,0.0
772,komme,0,0.0
773,efter,0,0.0
774,!,0,0.0
775,i,0,0.0
776,Vandet,0,0.0
777,skal,0,0.0
778,han,0,0.0
779,",",0,0.0
780,om,0,0.0
781,jeg,0,0.0
782,saa,0,0.0
783,selv,0,0.0
784,maa,0,0.0
785,sparke,0,0.0
786,ham,0,0.0
787,ud,0,0.0
788,!,0,0.0
789,«,0,0.0
790,Næste,0,0.0
791,Dag,0,0.0
792,var,0,0.0
793,det,0,0.0
794,et,0,0.0
795,velsignet,0,3.0
796,",",0,0.0
797,deiligt,0,0.0
798,Veir,0,0.0
799,;,0,0.0
800,Solen,0,0.0
801,skinnede,0,0.0
802,paa,0,0.0
803,alle,0,0.0
804,de,0,0.0
805,grønne,0,0.0
806,Skræpper,0,0.0
807,.,0,0.0
808,Ællingemoderen,0,0.0
809,med,0,0.0
810,hele,0,0.0
811,sin,-1,0.0
812,Familie,0,0.0
813,kom,0,0.0
814,frem,0,0.0
815,nede,0,0.0
816,ved,0,0.0
817,Canalen,0,0.0
818,:,0,0.0
819,pladsk,0,0.0
820,!,0,0.0
821,sprang,0,0.0
822,hun,0,0.0
823,i,0,0.0
824,Vandet,0,0.0
825,:,0,0.0
826,»,0,0.0
827,rap,-1,0.0
828,!,0,0.0
829,rap,-1,0.0
830,!,0,0.0
831,«,0,0.0
832,sagde,0,0.0
833,hun,0,0.0
834,og,0,0.0
835,den,0,0.0
836,ene,0,0.0
837,Ælling,0,0.0
838,plumpede,0,0.0
839,ud,0,0.0
840,efter,0,0.0
841,den,0,0.0
842,anden,0,0.0
843,;,0,0.0
844,Vandet,0,0.0
845,slog,-1,-1.0
846,dem,0,0.0
847,over,0,0.0
848,Hovedet,0,0.0
849,",",0,0.0
850,men,0,0.0
851,de,0,0.0
852,kom,0,0.0
853,strax,0,0.0
854,op,0,0.0
855,igjen,0,0.0
856,og,0,0.0
857,fløde,0,0.0
858,saa,0,0.0
859,deiligt,0,0.0
860,;,0,0.0
861,Benene,0,0.0
862,gik,0,0.0
863,af,0,0.0
864,sig,0,0.0
865,selv,0,0.0
866,",",0,0.0
867,og,0,0.0
868,alle,0,0.0
869,vare,0,0.0
870,de,0,0.0
871,ude,-1,0.0
